Listado de pagos - Sistema Caja v3
Exportado: 01/09/2026 10:32
id_pago;id_venta;id_medio_pago;fecha_pago;monto;cuotas
142;131;1;17/03/2026;3.775,68;1
143;131;1;18/03/2026;2.517,12;1
144;132;2;07/12/2025;11.141,49;1
145;133;3;21/06/2026;1.970,32;12
146;134;1;08/04/2026;1.275,97;1
147;134;2;09/04/2026;850,65;1
148;135;4;04/06/2026;5.650,02;1
149;136;2;01/09/2026;42.772,66;1
150;136;4;31/08/2026;28.515,10;1
151;137;5;21/12/2025;3.694,74;1
152;138;2;15/02/2026;39.543,36;1
153;139;1;28/03/2026;13.454,40;1
154;140;1;19/10/2025;63.184,72;1
155;141;3;23/12/2025;4.615,05;3
156;142;2;23/01/2026;7.894,14;1
157;143;1;02/12/2025;14.512,20;1
158;144;3;09/10/2025;8.655,60;1
159;144;2;09/10/2025;5.770,40;1
160;145;1;30/03/2026;9.472,39;1
161;145;1;31/03/2026;6.314,93;1
162;146;1;25/03/2026;1.977,07;1
163;147;5;22/09/2025;21.486,24;1
164;148;1;08/06/2026;1.446,58;1
165;149;1;23/10/2025;1.641,66;1
166;149;4;24/10/2025;1.094,44;1
167;150;5;27/06/2026;39.333,33;1
168;151;2;24/02/2026;19.191,30;1
169;152;4;23/07/2026;1.662,12;1
170;153;1;10/09/2025;39.357,72;1
171;154;3;29/06/2026;3.198,97;1
172;155;5;12/09/2025;7.607,84;1
173;156;3;11/06/2026;2.391,37;6
174;157;1;23/01/2026;6.206,26;1
175;158;1;07/01/2026;4.094,62;1
176;159;5;27/06/2026;3.845,22;1
177;160;1;12/02/2026;4.729,96;1
178;161;2;24/09/2025;15.772,39;1
179;162;1;15/05/2026;5.180,74;1
180;163;3;03/10/2025;76.584,00;12
181;164;1;23/06/2026;5.661,65;1
182;165;1;14/08/2026;10.055,76;1
183;166;4;24/01/2026;16.616,52;1
184;167;2;04/08/2026;3.254,05;1
185;168;1;02/07/2026;211.251,96;1
186;169;2;05/06/2026;43.693,32;1
187;170;3;29/08/2026;12.965,88;3
188;171;4;20/06/2026;11.969,64;1
189;172;3;25/01/2026;19.505,76;3
190;173;2;10/09/2025;42.439,04;1
191;174;1;02/12/2025;65.021,20;1
192;175;2;28/01/2026;2.715,46;1
193;176;6;15/02/2026;7.803,08;1
194;177;2;28/12/2025;2.977,41;1
195;178;1;01/08/2026;1.238,51;1
196;179;2;28/09/2025;24.837,44;1
197;180;1;26/03/2026;14.097,46;1
198;180;1;28/03/2026;9.398,30;1
199;181;3;25/03/2026;1.712,18;3
200;182;2;31/03/2026;27.956,28;1
201;183;2;10/11/2025;2.108,40;1
202;184;2;11/10/2025;2.948,66;1
203;185;2;11/10/2025;2.343,00;1
204;186;3;15/08/2026;19.344,24;3
205;187;2;23/03/2026;14.962,36;1
206;188;1;06/01/2026;6.695,25;1
207;189;1;21/03/2026;4.235,82;1
208;190;3;08/11/2025;3.982,42;12
209;191;1;15/06/2026;2.134,91;1
210;192;1;19/07/2026;16.875,32;1
211;193;1;08/07/2026;8.120,76;1
212;194;3;08/05/2026;5.866,09;6
213;195;2;03/11/2025;3.204,22;1
214;196;3;21/09/2025;191.725,56;6
215;197;2;12/02/2026;24.236,04;1
216;198;1;17/11/2025;2.541,48;1
217;199;1;24/06/2026;7.086,06;1
218;200;4;22/01/2026;13.246,79;1
219;201;1;15/06/2026;6.258,36;1
220;202;3;07/09/2025;3.696,52;12
221;203;3;18/12/2025;3.778,47;3
222;204;3;13/07/2026;1.367,41;6
223;204;3;14/07/2026;911,60;1
224;205;2;12/08/2026;44.439,48;1
225;206;1;08/07/2026;14.546,13;1
226;207;4;08/12/2025;8.391,48;1
227;208;1;17/06/2026;5.805,78;1
228;209;4;06/06/2026;33.523,16;1
229;210;2;08/10/2025;2.011,00;1
230;211;2;04/03/2026;2.406,32;1
231;212;3;15/07/2026;2.172,18;3
232;213;3;08/10/2025;1.352,25;1
233;214;4;01/12/2025;2.731,70;1
234;215;2;14/04/2026;42.857,21;1
235;215;6;13/04/2026;28.571,47;1
236;216;1;05/10/2025;3.434,52;1
237;217;5;02/12/2025;3.176,72;1
238;218;1;13/03/2026;3.787,78;1
239;218;6;12/03/2026;2.525,18;1
240;219;2;07/04/2026;9.020,79;1
241;219;4;06/04/2026;6.013,86;1
242;220;1;12/10/2025;5.885,28;1
243;221;2;27/01/2026;10.548,30;1
244;222;1;18/03/2026;4.434,14;1
245;223;1;22/04/2026;206.870,52;1
246;224;4;20/05/2026;9.981,76;1
247;225;4;02/10/2025;8.292,90;1
248;226;3;08/08/2026;6.708,08;12
249;227;2;28/02/2026;3.610,65;1
250;228;1;31/08/2026;2.057,57;1
251;229;5;22/05/2026;3.143,66;1
252;230;1;29/01/2026;30.946,92;1
253;231;3;26/02/2026;7.129,28;1
254;232;2;30/08/2026;4.825,78;1
255;233;1;08/06/2026;11.342,60;1
256;234;3;18/10/2025;22.997,76;6
257;235;4;04/05/2026;20.740,20;1
258;236;2;05/04/2026;3.719,27;1
259;237;5;13/09/2025;9.669,83;1
260;238;2;03/08/2026;12.999,02;1
261;239;1;20/11/2025;2.258,90;1
262;240;6;27/02/2026;27.776,88;1
263;241;4;25/06/2026;29.233,20;1
264;242;5;09/06/2026;11.447,22;1
265;243;3;14/11/2025;2.875,53;1
266;244;1;09/11/2025;2.096,05;1
267;245;3;20/07/2026;84.851,22;3
268;246;1;04/08/2026;11.691,00;1
269;247;1;01/07/2026;101.558,16;1
270;248;1;15/12/2025;21.925,20;1
271;249;2;12/07/2026;10.115,46;1
272;250;5;18/02/2026;5.813,04;1
273;251;2;22/04/2026;24.951,18;1
274;252;1;26/09/2025;13.364,93;1
275;253;2;06/06/2026;3.336,44;1
276;254;4;08/09/2025;5.058,23;1
277;255;2;09/04/2026;19.413,30;1
278;256;1;13/08/2026;42.700,41;1
279;257;2;27/07/2026;13.057,46;1
280;258;2;28/02/2026;1.155,47;1
281;258;1;28/02/2026;770,31;1
282;259;2;19/10/2025;3.563,62;1
283;260;1;19/07/2026;8.174,61;1
284;99999;4;18/07/2026;5.449,74;1
285;261;2;14/06/2026;4.060,02;1
286;262;1;08/12/2025;1.029,32;1
287;263;5;09/10/2025;4.132,98;1
288;264;4;21/05/2026;9.182,40;1
289;265;1;01/12/2025;27.778,68;1
290;266;1;08/06/2026;1.820,17;1
291;267;3;14/08/2026;1.499,84;12
292;268;3;02/10/2025;1.982,88;12
293;268;1;03/10/2025;1.321,92;1
294;269;4;21/06/2026;3.543,80;1
295;270;6;18/08/2026;27.631,22;1
296;271;2;19/06/2026;3.918,20;1
297;272;3;29/01/2026;4.765,38;12
298;273;1;24/04/2026;7.126,24;1
299;274;1;07/11/2025;13.051,89;1
300;275;2;12/12/2025;2.373,81;1
301;276;2;02/12/2025;19.517,88;1
302;277;3;25/05/2026;14.613,67;12
303;277;1;25/05/2026;9.742,45;1
304;278;1;25/06/2026;5.852,70;1
305;279;4;31/10/2025;10.492,89;1
306;280;1;10/04/2026;5.296,11;1
307;281;4;21/06/2026;9.694,59;1
308;282;2;20/08/2026;6.809,18;1
309;283;5;28/02/2026;18.355,32;1
310;284;1;24/01/2026;3.556,62;1
311;285;1;20/04/2026;6.614,62;1
312;99999;2;16/10/2025;8.095,68;1
313;287;3;03/08/2026;7.653,44;1
314;288;4;13/07/2026;56.493,42;1
315;289;2;22/10/2025;24.980,76;1
316;290;2;23/11/2025;102.703,50;1
317;291;2;06/10/2025;58.477,76;1
318;292;1;18/08/2026;26.515,20;1
319;293;3;11/12/2025;9.092,56;1
320;294;1;10/02/2026;51.831,12;1
321;295;1;23/02/2026;19.161,51;1
322;296;1;12/08/2026;5.270,26;1
323;297;1;10/01/2026;2.790,65;1
324;298;1;22/06/2026;40.455,36;1
325;299;6;29/05/2026;3.003,56;1
326;300;4;21/08/2026;79.556,88;1
327;301;2;16/11/2025;2.556,91;1
328;302;1;01/08/2026;9.951,16;1
329;303;1;03/03/2026;3.386,08;1
330;303;3;02/03/2026;2.257,39;6
331;304;1;08/06/2026;3.684,11;1
332;304;3;06/06/2026;2.456,08;12
333;305;2;05/08/2026;8.202,74;1
334;306;1;27/06/2026;9.828,29;1
335;307;2;10/04/2026;3.107,04;1
336;308;4;09/01/2026;51.686,16;1
337;309;6;04/06/2026;28.845,00;1
338;310;3;18/11/2025;4.879,65;12
339;311;3;02/02/2026;2.734,82;12
340;312;2;27/04/2026;12.256,04;1
341;313;2;05/01/2026;17.152,44;1
342;314;6;21/06/2026;45.560,95;1
343;314;5;19/06/2026;30.373,97;1
344;315;5;20/01/2026;15.006,42;1
345;316;2;09/09/2025;7.511,86;1
346;317;3;04/04/2026;2.818,12;3
347;318;3;03/10/2025;1.597,91;1
348;318;2;04/10/2025;1.065,28;1
349;319;3;22/10/2025;7.120,66;6
350;319;5;23/10/2025;4.747,10;1
351;320;1;07/05/2026;11.053,86;1
352;321;1;10/04/2026;5.861,04;1
353;322;1;11/12/2025;65.898,60;1
354;323;2;12/12/2025;4.083,92;1
355;324;4;12/05/2026;14.958,18;1
356;325;1;12/12/2025;19.159,76;1
357;326;1;22/10/2025;2.696,50;1
358;327;1;13/07/2026;8.921,82;1
359;328;1;04/01/2026;16.246,54;1
360;329;3;29/09/2025;39.930,06;3
361;330;1;28/11/2025;3.000,47;1
362;330;4;30/11/2025;2.000,31;1
363;331;4;10/10/2025;1.483,33;1
364;331;1;10/10/2025;988,88;1
365;332;2;17/05/2026;6.537,33;1
366;333;1;08/01/2026;44.495,13;1
367;334;2;19/10/2025;4.904,10;1
368;335;1;16/10/2025;7.470,01;1
369;336;2;26/03/2026;1.869,40;1
370;337;4;28/01/2026;3.402,68;1
371;338;3;02/11/2025;70.898,62;1
372;338;1;31/10/2025;47.265,74;1
373;339;1;18/04/2026;9.851,43;1
374;340;3;31/03/2026;1.072,92;6
375;341;1;25/02/2026;15.152,58;1
376;342;2;13/12/2025;6.166,78;1
377;343;2;14/06/2026;2.960,00;1
378;344;2;29/07/2026;8.693,82;1
379;99999;2;08/02/2026;4.149,74;1
380;346;1;08/11/2025;2.126,66;1
381;347;4;10/06/2026;2.532,21;1
382;348;3;09/11/2025;7.782,86;6
383;349;2;12/09/2025;16.073,15;1
384;350;5;01/10/2025;22.936,50;1
385;351;2;05/01/2026;32.956,06;1
386;352;1;10/12/2025;58.829,40;1
387;353;1;16/10/2025;3.469,52;1
388;354;1;31/07/2026;7.524,18;1
389;355;1;04/02/2026;8.673,84;1
390;356;5;14/04/2026;5.350,63;1
391;356;1;11/04/2026;3.567,09;1
392;357;2;14/11/2025;109.076,70;1
393;358;6;05/11/2025;14.246,16;1
394;359;4;23/04/2026;8.098,02;1
395;360;1;21/05/2026;9.685,92;1
396;361;3;16/12/2025;2.546,84;6
397;361;3;19/12/2025;1.697,89;6
398;362;4;22/09/2025;5.924,34;1
399;363;4;14/03/2026;3.682,16;1
400;364;2;11/04/2026;4.280,70;1
401;365;1;22/07/2026;2.350,20;1
402;365;4;22/07/2026;1.566,80;1
403;366;1;16/12/2025;22.389,20;1
404;367;1;18/09/2025;15.290,16;1
405;368;1;17/11/2025;2.313,55;1
406;369;5;18/04/2026;5.939,45;1
407;370;2;12/11/2025;2.147,92;1
408;371;5;16/07/2026;62.361,00;1
409;372;6;27/05/2026;3.338,45;1
410;373;2;27/08/2026;15.949,14;1
411;374;3;18/12/2025;7.202,16;3
412;375;3;28/02/2026;2.640,07;12
413;376;5;15/03/2026;16.975,56;1
414;377;4;19/08/2026;7.133,74;1
415;378;2;14/07/2026;1.598,34;1
416;379;3;08/05/2026;12.369,18;6
417;380;1;21/04/2026;4.719,94;1
418;381;3;03/12/2025;2.007,00;12
419;382;3;03/06/2026;8.116,00;1
420;383;3;25/01/2026;11.934,52;6
421;384;1;29/01/2026;21.778,99;1
422;384;5;29/01/2026;14.519,33;1
423;385;1;04/04/2026;7.752,46;1
424;386;2;18/11/2025;82.113,24;1
425;387;3;11/03/2026;6.727,17;3
426;388;1;04/11/2025;592,28;1
427;388;3;03/11/2025;394,86;1
428;389;5;04/03/2026;4.428,74;1
429;390;4;13/05/2026;3.000,91;1
430;391;4;06/05/2026;3.658,48;1
431;392;2;04/06/2026;28.000,32;1
432;393;5;17/06/2026;1.643,72;1
433;393;1;16/06/2026;1.095,82;1
434;394;1;16/07/2026;2.326,52;1
435;395;2;26/07/2026;18.604,48;1
436;99999;3;03/10/2025;6.047,73;6
437;397;3;14/05/2026;3.588,69;12
438;398;4;12/01/2026;7.607,08;1
439;399;6;04/09/2025;10.741,88;1
440;400;1;15/10/2025;24.190,86;1
441;401;5;14/05/2026;6.729,08;1
442;402;1;02/06/2026;3.148,38;1
443;403;5;14/04/2026;14.483,76;1
444;404;5;06/04/2026;50.711,37;1
445;405;1;09/11/2025;1.020,93;1
446;406;3;30/05/2026;4.002,42;3
447;407;1;11/01/2026;1.618,91;1
448;408;1;10/03/2026;13.738,48;1
449;409;4;26/03/2026;6.031,06;1
450;410;1;23/08/2026;2.530,21;1
451;410;2;22/08/2026;1.686,80;1
452;411;1;07/05/2026;9.021,84;1
453;412;5;31/07/2026;1.887,37;1
454;413;6;09/09/2025;2.635,44;1
455;414;2;22/02/2026;3.004,98;1
456;415;3;14/07/2026;7.358,00;6
457;416;1;24/06/2026;3.287,32;1
458;417;2;21/07/2026;2.252,94;1
459;418;2;03/02/2026;10.211,88;1
460;419;2;25/04/2026;11.658,50;1
461;420;2;25/08/2026;6.029,96;1
462;421;5;08/10/2025;29.856,00;1
463;422;4;24/09/2025;10.964,48;1
464;423;1;06/06/2026;1.570,56;1
465;424;1;10/02/2026;61.634,08;1
466;425;2;06/03/2026;52.114,80;1
467;426;1;11/06/2026;8.561,56;1
468;427;3;28/02/2026;24.791,16;3
469;428;3;12/02/2026;3.452,78;3
470;429;2;28/01/2026;32.274,12;1
471;430;4;01/01/2026;3.555,27;1
472;431;3;28/09/2025;9.647,86;6
473;432;1;31/10/2025;3.975,01;1
474;433;3;17/04/2026;4.256,22;1
475;434;1;27/06/2026;13.099,66;1
476;435;2;18/03/2026;5.350,27;1
477;436;5;23/11/2025;7.275,45;1
478;437;2;26/11/2025;8.657,38;1
479;438;3;10/04/2026;9.427,92;12
480;439;3;08/04/2026;4.867,35;6
481;440;2;26/05/2026;42.875,76;1
482;441;4;22/08/2026;8.472,32;1
483;442;4;30/11/2025;6.634,12;1
484;443;3;11/07/2026;4.500,13;3
485;444;1;12/03/2026;3.846,37;1
486;445;4;29/07/2026;12.242,16;1
487;446;2;09/07/2026;12.398,92;1
488;447;2;22/06/2026;14.958,54;1
489;448;1;10/08/2026;33.501,60;1
490;449;5;08/10/2025;17.299,56;1
491;450;5;18/07/2026;5.703,10;1
492;451;3;11/05/2026;2.505,56;3
493;452;2;05/06/2026;26.822,40;1
494;453;1;16/05/2026;19.752,81;1
495;454;4;12/09/2025;2.075,38;1
496;455;2;14/02/2026;25.606,86;1
497;456;4;26/08/2026;4.258,74;1
498;457;2;16/08/2026;15.438,63;1
499;458;3;02/01/2026;11.877,41;1
500;458;1;05/01/2026;7.918,27;1
501;459;1;12/03/2026;10.479,68;1
502;460;1;03/01/2026;42.814,08;1
503;461;1;25/06/2026;3.286,98;1
504;462;2;26/06/2026;25.913,16;1
505;463;3;08/10/2025;46.897,34;3
506;463;2;09/10/2025;31.264,90;1
507;464;3;03/08/2026;2.493,94;1
508;464;1;04/08/2026;1.662,63;1
509;465;2;17/10/2025;5.380,56;1
510;466;2;03/01/2026;8.376,64;1
511;466;2;31/12/2025;5.584,43;1
512;467;3;24/08/2026;3.884,63;12
513;468;1;08/06/2026;1.729,97;1
514;469;3;20/04/2026;2.579,02;6
515;469;5;21/04/2026;1.719,35;1
516;470;5;17/12/2025;6.206,28;1
517;471;3;02/06/2026;9.509,04;6
518;472;1;23/01/2026;3.822,90;1
519;473;3;06/01/2026;40.785,57;1
520;474;5;26/03/2026;31.958,04;1
521;475;2;28/05/2026;3.320,36;1
522;476;3;23/06/2026;3.179,09;12
523;477;2;28/06/2026;209.061,36;1
524;478;1;09/07/2026;1.409,46;1
525;479;3;10/08/2026;5.047,39;12
526;480;3;03/11/2025;4.778,26;1
527;481;4;25/05/2026;16.383,60;1
528;482;1;20/06/2026;28.551,30;1
529;483;1;31/07/2026;44.322,12;1
530;484;2;23/04/2026;2.124,46;1
531;485;1;18/10/2025;2.846,16;1
532;486;1;19/08/2026;105.479,70;1
533;487;3;17/03/2026;2.257,71;6
534;488;3;23/09/2025;10.275,24;3
535;489;3;19/09/2025;37.810,76;1
536;490;2;06/08/2026;5.524,84;1
537;491;3;21/10/2025;11.808,72;12
538;492;2;22/08/2026;93.693,96;1
539;493;3;30/05/2026;3.945,90;6
540;494;2;01/12/2025;11.859,08;1
541;495;4;27/08/2026;5.597,80;1
542;496;3;05/09/2025;1.078,34;6
543;497;3;20/04/2026;7.300,74;6
544;498;1;24/05/2026;14.014,74;1
545;499;3;29/06/2026;2.044,16;3
546;500;3;19/09/2025;4.951,50;1
547;501;2;19/10/2025;3.670,46;1
548;501;2;18/10/2025;2.446,97;1
549;99999;2;21/09/2025;3.174,00;1
550;503;2;06/09/2025;7.829,30;1
551;504;3;12/10/2025;10.185,16;12
552;505;3;22/04/2026;2.526,32;3
553;506;3;09/12/2025;10.294,74;12
554;507;3;28/11/2025;2.529,09;6
555;507;5;28/11/2025;1.686,06;1
556;508;3;04/08/2026;9.551,23;3
557;508;2;03/08/2026;6.367,48;1
558;509;3;05/12/2025;31.136,46;12
559;510;2;29/09/2025;2.566,87;1
560;511;5;18/05/2026;11.003,04;1
561;511;4;18/05/2026;7.335,36;1
562;512;5;09/10/2025;1.564,23;1
563;513;3;04/01/2026;8.884,14;1
564;514;3;13/01/2026;21.671,10;1
565;515;4;11/02/2026;6.424,68;1
566;516;5;29/10/2025;14.481,08;1
567;517;3;04/11/2025;50.089,05;12
568;518;2;07/11/2025;6.533,44;1
569;519;3;21/08/2026;4.491,43;6
570;520;2;05/11/2025;3.152,06;1
571;520;2;04/11/2025;2.101,38;1
572;521;2;02/01/2026;1.894,43;1
573;521;2;01/01/2026;1.262,96;1
574;522;2;21/07/2026;3.579,04;1
575;523;1;06/05/2026;15.914,88;1
576;524;5;23/03/2026;3.294,26;1
577;525;3;30/11/2025;19.193,04;3
578;526;1;26/03/2026;1.358,20;1
579;527;5;04/05/2026;38.571,78;1
580;528;3;23/04/2026;12.582,12;1
581;529;2;02/08/2026;44.223,36;1
582;530;3;19/07/2026;27.131,92;6
583;531;1;18/07/2026;3.419,21;1
584;532;2;05/05/2026;1.426,19;1
585;533;4;17/10/2025;17.389,20;1
586;534;5;21/12/2025;3.535,00;1
587;535;2;17/01/2026;10.150,28;1
588;536;3;12/03/2026;1.431,93;3
589;537;2;21/12/2025;12.243,76;1
590;538;6;19/12/2025;15.272,31;1
591;539;3;11/12/2025;14.740,60;6
592;539;2;11/12/2025;9.827,06;1
593;540;1;28/11/2025;50.615,40;1
594;541;3;30/01/2026;4.869,84;6
595;542;2;26/12/2025;11.931,69;1
596;543;3;10/02/2026;69.952,88;3
597;544;4;18/11/2025;39.288,42;1
598;545;2;08/10/2025;45.314,94;1
599;546;3;05/11/2025;106.648,98;12
600;547;3;20/05/2026;158.292,36;6
601;548;3;09/10/2025;47.945,61;6
602;549;2;26/03/2026;6.169,36;1
603;550;2;29/08/2026;7.237,12;1
604;551;1;23/12/2025;7.842,06;1
605;551;1;24/12/2025;5.228,04;1
606;552;1;19/09/2025;12.477,93;1
607;553;1;16/10/2025;11.115,12;1
608;554;3;13/01/2026;3.343,79;6
609;555;5;26/10/2025;2.961,10;1
610;556;2;27/07/2026;12.899,84;1
611;557;2;26/11/2025;1.953,66;1
612;558;2;02/09/2026;6.913,82;1
613;559;1;20/03/2026;3.902,48;1
614;560;3;04/01/2026;4.232,49;12
615;561;1;31/12/2025;17.187,24;1
616;562;1;12/05/2026;2.728,13;1
617;563;2;17/04/2026;23.738,08;1
618;564;1;11/03/2026;9.524,90;1
619;565;3;31/12/2025;1.777,19;1
620;566;2;08/07/2026;28.627,80;1
621;567;1;03/10/2025;615,58;1
622;567;4;02/10/2025;410,38;1
623;568;4;17/11/2025;12.749,10;1
624;569;4;13/05/2026;4.674,60;1
625;569;1;15/05/2026;3.116,40;1
626;570;3;16/06/2026;13.776,38;12
627;571;2;06/10/2025;23.778,10;1
628;571;3;08/10/2025;15.852,06;6
629;572;1;18/11/2025;3.389,30;1
630;573;1;13/08/2026;7.949,40;1
631;574;2;26/07/2026;33.583,44;1
632;575;1;12/10/2025;2.356,55;1
633;576;3;07/05/2026;23.729,46;12
634;577;1;02/07/2026;24.549,26;1
635;577;5;01/07/2026;16.366,18;1
636;578;3;21/06/2026;86.607,60;1
637;579;3;19/11/2025;4.936,46;3
638;580;1;21/08/2026;20.762,04;1
639;581;5;26/04/2026;20.271,64;1
640;582;5;27/01/2026;17.338,44;1
641;583;3;25/02/2026;5.039,84;3
642;584;1;23/03/2026;3.393,14;1
643;585;5;02/06/2026;1.739,54;1
644;585;3;04/06/2026;1.159,70;12
645;586;3;05/06/2026;2.238,01;1
646;587;3;24/03/2026;3.519,60;1
647;588;3;16/05/2026;8.691,42;3
648;589;5;20/05/2026;7.829,06;1
649;590;1;21/02/2026;5.092,16;1
650;591;3;03/11/2025;4.074,95;12
651;592;1;07/04/2026;19.331,50;1
652;593;2;31/01/2026;2.764,98;1
653;594;1;12/09/2025;3.841,58;1
654;595;1;10/09/2025;4.616,64;1
655;99999;1;05/10/2025;3.020,20;1
656;597;3;12/10/2025;2.333,54;6
657;598;4;18/08/2026;28.242,20;1
658;599;4;31/08/2026;12.541,76;1
659;600;4;15/10/2025;45.832,68;1
660;601;1;16/04/2026;3.791,53;1
